,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,abacate,-48.8879905,-23.1926664,2020-01-01,2020-01-21,0.7397,0.5803,2.6228716373443604,20.837356567382812,18.624404907226562,32.35247289972904
1,abacate,-48.8879905,-23.1926664,2020-01-21,2020-02-10,0.7286,0.4786,2.9557201862335205,20.70706558227539,15.411905288696289,30.93970175875228
2,abacate,-48.8879905,-23.1926664,2020-02-10,2020-03-01,0.6738,0.4482,3.0473294258117676,36.234127044677734,23.32552719116211,28.12974225706546
3,abacate,-48.8879905,-23.1926664,2020-03-01,2020-03-21,0.6971,0.4354,2.960200309753418,,22.38065528869629,30.616792548914532
4,abacate,-48.8879905,-23.1926664,2020-03-21,2020-04-10,0.6842,0.4318,2.703911542892456,,14.130655288696289,28.879758331099822
5,abacate,-48.8879905,-23.1926664,2020-04-10,2020-04-30,0.6705,0.4083,2.4383504390716553,,7.624520778656006,27.886778310104546
6,abacate,-48.8879905,-23.1926664,2020-04-30,2020-05-20,0.6515,0.3592,2.1272337436676025,3.6190218925476074,2.456425428390503,26.888354525362388
7,abacate,-48.8879905,-23.1926664,2020-05-20,2020-06-09,0.6237,0.3672,1.7876540422439575,7.643342018127441,5.209072113037109,22.73585533030655
8,abacate,-48.8879905,-23.1926664,2020-06-09,2020-06-29,0.5897,0.3233,1.531292200088501,9.836814880371094,5.362351894378662,26.63014638545735
9,abacate,-48.8879905,-23.1926664,2020-06-29,2020-07-19,0.6088,0.3318,1.3510488271713257,31.852041244506836,25.574405670166016,23.35453344713102
10,abacate,-48.8879905,-23.1926664,2020-07-19,2020-08-08,0.5589,0.3125,1.2432401180267334,17.761905670166016,18.26815414428711,25.417043372305216
11,abacate,-48.8879905,-23.1926664,2020-08-08,2020-08-28,0.5319,0.2994,1.2184919118881226,12.832737922668457,24.753164291381836,25.40606839592209
12,abacate,-48.8879905,-23.1926664,2020-08-28,2020-09-17,0.5226,0.2923,1.2374173402786255,,26.045352935791016,31.57537858874838
13,abacate,-48.8879905,-23.1926664,2020-09-17,2020-10-07,0.5518,0.3361,1.3877882957458496,10.133442878723145,9.330655097961426,34.08050391826521
14,abacate,-48.8879905,-23.1926664,2020-10-07,2020-10-27,0.5839,0.3304,1.6516225337982178,14.0619535446167,8.880655288696289,32.65789265435171
15,abacate,-48.8879905,-23.1926664,2020-10-27,2020-11-16,0.5967,0.4143,1.9952812194824219,9.196508407592773,6.480786323547363,33.614085591689275
16,abacate,-48.8879905,-23.1926664,2020-11-16,2020-12-06,0.7109,0.5495,2.1598901748657227,12.3776216506958,7.418484687805176,31.677166085946624
17,abacate,-48.8879905,-23.1926664,2020-12-06,2020-12-26,0.7322,0.6285,2.351424217224121,24.001134872436523,11.024404525756836,30.976595348708656
18,abacate,-48.8879905,-23.1926664,2020-12-26,2021-01-15,0.7523,0.6394,2.5197529792785645,22.461061477661133,16.524404525756836,29.757971060782097
19,abacate,-48.8879905,-23.1926664,2021-01-15,2021-02-04,0.7313,0.4929,2.887794017791748,23.918447494506836,20.555654525756836,29.115177119628356
20,abacate,-48.8879905,-23.1926664,2021-02-04,2021-02-24,0.658,0.4665,3.0336194038391113,13.596179008483887,12.968154907226562,30.635541451096287
21,abacate,-48.8879905,-23.1926664,2021-02-24,2021-03-16,0.7418,0.4637,3.0062649250030518,,16.155654907226562,30.081945688844655
22,abacate,-48.8879905,-23.1926664,2021-03-16,2021-04-05,0.7797,0.5236,2.7629430294036865,,15.8244047164917,28.786228956873515
23,abacate,-48.8879905,-23.1926664,2021-04-05,2021-04-25,0.7351,0.4895,2.517850160598755,,9.486971855163574,27.14947018509298
24,abacate,-48.8879905,-23.1926664,2021-04-25,2021-05-15,0.7099,0.4269,2.2029082775115967,12.499404907226562,9.536905288696289,25.715751459922217
25,abacate,-48.8879905,-23.1926664,2021-05-15,2021-06-04,0.6944,0.4393,1.8711562156677246,10.54321002960205,8.686904907226562,23.79422938003728
26,abacate,-48.8879905,-23.1926664,2021-06-04,2021-06-24,0.7389,0.4175,1.5852382183074951,16.53768539428711,9.755655288696289,20.91925688568108
27,abacate,-48.8879905,-23.1926664,2021-06-24,2021-07-14,0.6804,0.3889,1.3902326822280884,10.305654525756836,7.386904716491699,20.589158817373118
28,abacate,-48.8879905,-23.1926664,2021-07-14,2021-08-03,0.6108,0.3497,1.2626376152038574,13.780654907226562,9.455655097961426,21.701580730922217
29,abacate,-48.8879905,-23.1926664,2021-08-03,2021-08-23,0.5173,0.2754,1.2196879386901855,13.999404907226562,7.843295097351074,29.00502183859504
30,abacate,-48.8879905,-23.1926664,2021-08-23,2021-09-12,0.5069,0.2776,1.225063681602478,,4.144131660461426,30.450463291451058
31,abacate,-48.8879905,-23.1926664,2021-09-12,2021-10-02,0.5274,0.2936,1.336711049079895,4.579660415649414,4.631344795227051,31.37603808116006
32,abacate,-48.8879905,-23.1926664,2021-10-02,2021-10-22,0.5729,0.3283,1.5767569541931152,18.40578269958496,8.911996841430664,30.980061459543208
33,abacate,-48.8879905,-23.1926664,2021-10-22,2021-11-11,0.6246,0.3866,1.9143028259277344,31.30013656616211,25.50614356994629,34.169463860439464
34,abacate,-48.8879905,-23.1926664,2021-11-11,2021-12-01,0.721,0.4752,2.1296958923339844,22.223907470703125,19.718154907226562,32.43505252290623
