,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,café,-48.0636492,-22.8308688,2020-01-01,2020-01-21,0.7274,0.5351,2.2868210427901325,36.617486729341394,33.72996161965763,29.66362417731324
1,café,-48.0636492,-22.8308688,2020-01-21,2020-02-10,0.608,0.4358,2.4364723247640274,28.73595557493322,26.102518418255972,29.99686494109841
2,café,-48.0636492,-22.8308688,2020-02-10,2020-03-01,0.5902,0.3892,2.47043221838334,69.70828000236959,64.43898862950942,28.8901421796362
3,café,-48.0636492,-22.8308688,2020-03-01,2020-03-21,0.6591,0.3976,2.413202916874605,,51.98301539701574,28.1682081224767
4,café,-48.0636492,-22.8308688,2020-03-21,2020-04-10,0.6829,0.3986,2.273091147927677,,32.93553408454446,26.542712154280196
5,café,-48.0636492,-22.8308688,2020-04-10,2020-04-30,0.6824,0.4054,2.0220696154762714,,20.86355899362003,25.530457946186687
6,café,-48.0636492,-22.8308688,2020-04-30,2020-05-20,0.6449,0.3968,1.748290693058687,18.144973754882812,17.30565508674173,24.169392030733547
7,café,-48.0636492,-22.8308688,2020-05-20,2020-06-09,0.5925,0.3501,1.4753906306098488,16.01629980872659,16.567787142360913,22.077370015485883
8,café,-48.0636492,-22.8308688,2020-06-09,2020-06-29,0.6082,0.3525,1.2502086618367365,23.30576941546272,20.413007904501523,23.204618824942088
9,café,-48.0636492,-22.8308688,2020-06-29,2020-07-19,0.6023,0.3642,1.0963306006263285,35.362557130701404,29.20032355364631,21.64215695280336
10,café,-48.0636492,-22.8308688,2020-07-19,2020-08-08,0.5908,0.356,0.9899821036002214,22.271463618558997,22.601427583133475,24.13339260094284
11,café,-48.0636492,-22.8308688,2020-08-08,2020-08-28,0.5709,0.3272,0.9643751417889314,36.590335845947266,28.56620412714341,24.883556652471384
12,café,-48.0636492,-22.8308688,2020-08-28,2020-09-17,0.5602,0.3435,0.9995620355886571,29.80983543395996,30.46356588251451,29.8050760439678
13,café,-48.0636492,-22.8308688,2020-09-17,2020-10-07,0.5211,0.3274,1.111478023669299,10.362456167445464,16.48745634976555,34.264647643297565
14,café,-48.0636492,-22.8308688,2020-10-07,2020-10-27,0.5562,0.3044,1.3185350789743313,12.309515083537383,10.650691481197581,34.78773068644813
15,café,-48.0636492,-22.8308688,2020-10-27,2020-11-16,0.603,0.43,1.5624458439209883,8.951226879568662,5.519914991715375,34.83784066272483
16,café,-48.0636492,-22.8308688,2020-11-16,2020-12-06,0.6758,0.5258,1.7694428142379313,23.846662521362305,12.744809290942023,33.32057693052218
17,café,-48.0636492,-22.8308688,2020-12-06,2020-12-26,0.7353,0.5956,2.0358823818318985,15.452891826629639,8.274630630717558,31.601869531552552
18,café,-48.0636492,-22.8308688,2020-12-26,2021-01-15,0.7497,0.6307,2.226557963034686,17.627862705903894,9.847413091098561,29.04849386787248
19,café,-48.0636492,-22.8308688,2021-01-15,2021-02-04,0.7889,0.5613,2.4060469585306503,22.03721607432646,18.184699170729694,27.318042973286992
20,café,-48.0636492,-22.8308688,2021-02-04,2021-02-24,0.7569,0.5497,2.4701976705999935,6.85468004731571,7.198792499654434,28.978540069686403
21,café,-48.0636492,-22.8308688,2021-02-24,2021-03-16,0.7773,0.5213,2.435250436558443,1.5,4.498201987322639,28.203867560623735
22,café,-48.0636492,-22.8308688,2021-03-16,2021-04-05,0.7808,0.5309,2.3175114743849807,,2.7306212677675137,28.457587460739035
23,café,-48.0636492,-22.8308688,2021-04-05,2021-04-25,0.7083,0.4789,2.094554536482867,,0.42242442991803675,26.288634756390877
24,café,-48.0636492,-22.8308688,2021-04-25,2021-05-15,0.618,0.3983,1.810829453608569,0.0,0.0,24.568230900287062
25,café,-48.0636492,-22.8308688,2021-05-15,2021-06-04,0.6331,0.3998,1.5463013333432816,2.5415216824587654,0.0,21.385180815957938
26,café,-48.0636492,-22.8308688,2021-06-04,2021-06-24,0.6419,0.4208,1.2969300501486833,2.5310579888960896,0.1331801488995552,21.695234030197525
27,café,-48.0636492,-22.8308688,2021-06-24,2021-07-14,0.5047,0.2985,1.130981897606569,0.674604207277298,0.0,21.201755484933244
28,café,-48.0636492,-22.8308688,2021-07-14,2021-08-03,0.414,0.2447,1.0095562759567709,3.6612285515841316,0.30937498807907104,23.577561408031556
29,café,-48.0636492,-22.8308688,2021-08-03,2021-08-23,0.3655,0.2259,0.9640628713018755,3.4092729091644287,0.572150716010262,28.692054366462173
30,café,-48.0636492,-22.8308688,2021-08-23,2021-09-12,0.4186,0.2498,0.9862573252004735,4.715367317199707,0.592279001193888,31.39882062314382
31,café,-48.0636492,-22.8308688,2021-09-12,2021-10-02,0.4809,0.2943,1.0719877446399015,1.0035196542739868,0.6874080826254452,33.43997185267318
32,café,-48.0636492,-22.8308688,2021-10-02,2021-10-22,0.5791,0.364,1.2637706293779263,12.8093022739186,3.1817225568434773,33.98234959349605
33,café,-48.0636492,-22.8308688,2021-10-22,2021-11-11,0.5795,0.4109,1.4960925473886377,34.214036492740405,21.80216273139505,33.7237772029236
34,café,-48.0636492,-22.8308688,2021-11-11,2021-12-01,0.6047,0.4019,1.720818926306332,13.840519905090332,15.091362027560963,35.46759891829373
35,café,-48.0636492,-22.8308688,2021-12-01,2021-12-21,0.6406,0.4787,1.97209373291801,28.4419646543615,13.250631837283862,33.05923393341084
