,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,citrus,-48.7390727,-22.8984788,2020-01-01,2020-01-21,0.7368,0.5749,2.3029806754168343,26.348715165082144,22.826978346880747,30.45230444896771
1,citrus,-48.7390727,-22.8984788,2020-01-21,2020-02-10,0.7358,0.5356,2.504076831481036,30.565119238460763,21.904744877534757,29.846498400697953
2,citrus,-48.7390727,-22.8984788,2020-02-10,2020-03-01,0.7669,0.5372,2.5372579658732692,51.711988112505736,47.83283458036535,28.016703789861424
3,citrus,-48.7390727,-22.8984788,2020-03-01,2020-03-21,0.7603,0.4648,2.482292736277861,41.970760345458984,42.694477305692786,29.162825558371082
4,citrus,-48.7390727,-22.8984788,2020-03-21,2020-04-10,0.7485,0.4572,2.3635661181281593,,20.360136368695425,27.4811803840243
5,citrus,-48.7390727,-22.8984788,2020-04-10,2020-04-30,0.7048,0.3927,2.1760588673984302,9.249404907226562,12.619993434232825,26.70501535688419
6,citrus,-48.7390727,-22.8984788,2020-04-30,2020-05-20,0.6684,0.3681,1.9485347200842462,7.5214112506193285,9.507860744700713,25.076363861204243
7,citrus,-48.7390727,-22.8984788,2020-05-20,2020-06-09,0.6596,0.3723,1.7025306855931002,12.605676202213063,9.392051696777344,22.311070092067496
8,citrus,-48.7390727,-22.8984788,2020-06-09,2020-06-29,0.6562,0.3581,1.475412228528191,17.87538393806009,12.982369927799,25.052658738954108
9,citrus,-48.7390727,-22.8984788,2020-06-29,2020-07-19,0.6503,0.3459,1.279981255531311,41.50941198012408,35.382333643296185,23.237736091087356
10,citrus,-48.7390727,-22.8984788,2020-07-19,2020-08-08,0.6414,0.3494,1.1354092359542847,27.19388961791992,29.57293431899127,25.33679502657907
11,citrus,-48.7390727,-22.8984788,2020-08-08,2020-08-28,0.6038,0.324,1.0644072364358341,42.26214061063879,33.25400834925035,26.18782169512184
12,citrus,-48.7390727,-22.8984788,2020-08-28,2020-09-17,0.6033,0.3489,1.056196665062624,29.087054084329043,35.85050268734203,31.134012628120047
13,citrus,-48.7390727,-22.8984788,2020-09-17,2020-10-07,0.6227,0.371,1.1320652295561398,15.740217994241153,21.20344835169175,35.056876775448984
14,citrus,-48.7390727,-22.8984788,2020-10-07,2020-10-27,0.6559,0.3463,1.2975779000450582,16.414492887609146,15.128448879017549,34.66382548221378
15,citrus,-48.7390727,-22.8984788,2020-10-27,2020-11-16,0.6249,0.3952,1.550341949743383,11.223020665785846,12.372934173135196,35.74207525972139
16,citrus,-48.7390727,-22.8984788,2020-11-16,2020-12-06,0.6577,0.4783,1.7578351147034588,19.45821896721335,14.443522509406593,33.01456474016118
17,citrus,-48.7390727,-22.8984788,2020-12-06,2020-12-26,0.7336,0.605,2.0103470297420727,32.21891582713407,18.696177089915555,30.966395463797596
18,citrus,-48.7390727,-22.8984788,2020-12-26,2021-01-15,0.7755,0.6415,2.2167131900787354,36.22559895234949,28.360394309548774,28.635765726470936
19,citrus,-48.7390727,-22.8984788,2021-01-15,2021-02-04,0.8026,0.6359,2.4740082095651066,33.075693018296185,33.23721358355354,28.77401570223907
20,citrus,-48.7390727,-22.8984788,2021-02-04,2021-02-24,0.7858,0.5272,2.5303600535673256,12.28109488767736,14.158228818108054,28.499498726048557
21,citrus,-48.7390727,-22.8984788,2021-02-24,2021-03-16,0.7991,0.4798,2.5076553541071274,24.051738739013672,14.130287058213177,29.155271881360875
22,citrus,-48.7390727,-22.8984788,2021-03-16,2021-04-05,0.7547,0.4558,2.395164686090806,,10.974037114311669,29.20255417336375
23,citrus,-48.7390727,-22.8984788,2021-04-05,2021-04-25,0.6968,0.4132,2.2306664410759423,,8.983228290782256,27.658487027882813
24,citrus,-48.7390727,-22.8984788,2021-04-25,2021-05-15,0.6857,0.3833,2.006065004012164,6.657637960770551,8.543522610383876,25.77588854733517
25,citrus,-48.7390727,-22.8984788,2021-05-15,2021-06-04,0.6937,0.3749,1.7659976903130024,7.426830347846536,6.1296898056479066,24.448345537374337
