,cidade,longitude,latitude,periodo_inicial,periodo_final,ndvi_medio,evi_medio,leaf_area_index_medio,sm_rootzone_pctl_medio,sm_profile_pctl_medio,lst_day_1km_c
0,eucalipto,-48.3739606,-22.8067598,2020-01-01,2020-01-21,0.8583,0.5191,2.4775157115038704,36.31605529785156,28.01690247479607,26.7608996217632
1,eucalipto,-48.3739606,-22.8067598,2020-01-21,2020-02-10,0.8339,0.6131,2.6384533012614533,31.987953410429114,24.591610403621896,29.59429327902251
2,eucalipto,-48.3739606,-22.8067598,2020-02-10,2020-03-01,0.8386,0.5669,2.64679199106553,90.90029189165901,59.04942635928883,26.645964503927928
3,eucalipto,-48.3739606,-22.8067598,2020-03-01,2020-03-21,0.8596,0.5359,2.552682876586914,,51.26351300407859,27.029336509552934
4,eucalipto,-48.3739606,-22.8067598,2020-03-21,2020-04-10,0.8499,0.5387,2.415382020613727,,28.84685493918026,25.476793427695497
5,eucalipto,-48.3739606,-22.8067598,2020-04-10,2020-04-30,0.8413,0.5092,2.1712213965023266,,19.772566178265738,24.930834656469585
6,eucalipto,-48.3739606,-22.8067598,2020-04-30,2020-05-20,0.8148,0.4671,1.8874924323138067,12.832737922668457,16.152713102452893,23.39531919927623
7,eucalipto,-48.3739606,-22.8067598,2020-05-20,2020-06-09,0.812,0.4907,1.6432905197143555,17.293155670166016,16.23616936627556,21.324031422752512
8,eucalipto,-48.3739606,-22.8067598,2020-06-09,2020-06-29,0.784,0.4371,1.464350560132195,22.81156349182129,17.570772283217487,23.6868197518707
9,eucalipto,-48.3739606,-22.8067598,2020-06-29,2020-07-19,0.7726,0.4289,1.3465793974259321,42.992130279541016,31.439737432143264,21.837935964239477
10,eucalipto,-48.3739606,-22.8067598,2020-07-19,2020-08-08,0.7633,0.4265,1.2798907967174755,25.23690414428711,25.96006685144761,24.36157592976099
11,eucalipto,-48.3739606,-22.8067598,2020-08-08,2020-08-28,0.7137,0.3882,1.2664193265578325,22.90681266784668,30.24766630284926,24.914319924167955
12,eucalipto,-48.3739606,-22.8067598,2020-08-28,2020-09-17,0.6417,0.381,1.292477853157941,42.284996032714844,33.64583834479837,30.272954354858086
13,eucalipto,-48.3739606,-22.8067598,2020-09-17,2020-10-07,0.5721,0.3697,1.3610235943513758,8.288793676039752,18.20381680656882,34.1570115133631
14,eucalipto,-48.3739606,-22.8067598,2020-10-07,2020-10-27,0.5509,0.3295,1.5359112515169033,16.250696743235867,12.02881695242489,34.82341654543694
15,eucalipto,-48.3739606,-22.8067598,2020-10-27,2020-11-16,0.5733,0.3635,1.795512311598834,11.099405288696289,8.523386871113495,37.40898533781234
16,eucalipto,-48.3739606,-22.8067598,2020-11-16,2020-12-06,0.6234,0.4538,2.014176607131958,,15.168890167685115,35.757442484196076
17,eucalipto,-48.3739606,-22.8067598,2020-12-06,2020-12-26,0.6645,0.5121,2.301476604798261,,13.871096330530504,32.49827194258563
18,eucalipto,-48.3739606,-22.8067598,2020-12-26,2021-01-15,0.6142,0.5019,2.4431674620684456,22.565725214341107,16.943890066707837,31.540318591795256
19,eucalipto,-48.3739606,-22.8067598,2021-01-15,2021-02-04,0.6758,0.424,2.5960485233980064,25.034110910752243,23.345987432143268,30.0427005140142
20,eucalipto,-48.3739606,-22.8067598,2021-02-04,2021-02-24,0.693,0.52,2.6612054600435147,8.326376914978027,10.492419523351334,30.25071238130505
21,eucalipto,-48.3739606,-22.8067598,2021-02-24,2021-03-16,0.7324,0.4474,2.5822895274442783,,8.011904996984144,29.352741974590288
22,eucalipto,-48.3739606,-22.8067598,2021-03-16,2021-04-05,0.7115,0.4828,2.4559861070969524,,7.0328607278711655,29.24944735964266
23,eucalipto,-48.3739606,-22.8067598,2021-04-05,2021-04-25,0.6562,0.4407,2.2410278180066276,,5.500016801497515,28.150722583707363
24,eucalipto,-48.3739606,-22.8067598,2021-04-25,2021-05-15,0.6044,0.3867,1.9565162097706514,,3.9190461214850933,26.35209659053976
25,eucalipto,-48.3739606,-22.8067598,2021-05-15,2021-06-04,0.5825,0.3455,1.6986170095555924,5.865684986114502,3.8517887732561897,24.47194658543549
26,eucalipto,-48.3739606,-22.8067598,2021-06-04,2021-06-24,0.5728,0.34,1.5026881694793701,8.808956146240234,4.616545368643369,22.35676879271125
27,eucalipto,-48.3739606,-22.8067598,2021-06-24,2021-07-14,0.5151,0.3022,1.37142611952389,6.930655002593994,5.314195240245146,23.028148004551042
28,eucalipto,-48.3739606,-22.8067598,2021-07-14,2021-08-03,0.4639,0.2433,1.2914810741648957,8.218633651733398,3.703543073990766,26.291804507101915
29,eucalipto,-48.3739606,-22.8067598,2021-08-03,2021-08-23,0.4116,0.2261,1.2647474583457499,12.141196250915527,4.800439385806813,28.85875818101016
30,eucalipto,-48.3739606,-22.8067598,2021-08-23,2021-09-12,0.4711,0.2611,1.2849206994561588,12.332737922668457,3.9385547076954563,32.18840493383061
31,eucalipto,-48.3739606,-22.8067598,2021-09-12,2021-10-02,0.5386,0.3109,1.3338358262005974,,2.85902525396908,33.54404197341472
32,eucalipto,-48.3739606,-22.8067598,2021-10-02,2021-10-22,0.6309,0.4208,1.486277229645673,13.77476703419405,4.947402645559872,32.01901084833128
33,eucalipto,-48.3739606,-22.8067598,2021-10-22,2021-11-11,0.6919,0.4573,1.7184212909025303,32.164093017578125,19.15677261352539,32.51664896949626
34,eucalipto,-48.3739606,-22.8067598,2021-11-11,2021-12-01,0.7346,0.507,1.9681882718030146,,20.01224158791935,33.172430899039966
35,eucalipto,-48.3739606,-22.8067598,2021-12-01,2021-12-21,0.7745,0.5704,2.2320996873519,,23.256631963393268,30.533783227343974
36,eucalipto,-48.3739606,-22.8067598,2021-12-21,2022-01-10,0.5614,0.4131,2.4212116634144505,39.2887243383071,21.431826647590192,30.855793673885103
37,eucalipto,-48.3739606,-22.8067598,2022-01-10,2022-01-30,0.7968,0.5488,2.5497036681455723,32.231129590202784,30.21277831582462,29.831280601853848
38,eucalipto,-48.3739606,-22.8067598,2022-01-30,2022-02-19,0.8325,0.5418,2.663309391807107,77.50155864042395,57.47291273229263,28.74905028610226
39,eucalipto,-48.3739606,-22.8067598,2022-02-19,2022-03-11,0.8282,0.5693,2.6093917594236484,,20.240803101483515,29.13646229514842
40,eucalipto,-48.3739606,-22.8067598,2022-03-11,2022-03-31,0.8373,0.5824,2.4890688868129955,,19.125140695010913,27.67056149004071
41,eucalipto,-48.3739606,-22.8067598,2022-03-31,2022-04-20,0.8466,0.5391,2.3080547276665184,,14.832860666162826,25.098628176982572
42,eucalipto,-48.3739606,-22.8067598,2022-04-20,2022-05-10,0.8109,0.5134,2.027116663315717,,12.013007781084847,26.06315903570777
43,eucalipto,-48.3739606,-22.8067598,2022-05-10,2022-05-30,0.7728,0.4769,1.7584687541512882,8.017512321472168,9.908595702227425,22.030825984605997
