Placemark Name,Latitude,Longitude
abacate,-227.999.905,-486.329.692
abacate,-231.926.664,-488.879.905
Café,-226.138.288,-486.001.332
café,-228.119.643,-481.993.860
café,-228.308.688,-480.636.492
citrus,-232.133.859,-484.646.525
citrus,-226.242.139,-482.980.924
citrus,-229.889.705,-487.786.837
citrus,-231.175.032,-487.413.230
citrus,-228.984.788,-487.390.727
citrus,-229.088.183,-485.396.188
citrus,-233.802.474,-489.127.284
eucalipto,-228.067.598,-483.739.606
eucalipto,-224.962.489,-485.192.400
eucalipto,-234.082.509,-487.497.324
eucalipto,-230.902.656,-485.649.457
eucalipto,-230.168.264,-482.348.555
